beta,gamma,yearly_I
1,-40,57964.50207603422
1,-39,57964.59860526244
1,-38,57964.7115781198
1,-37,57964.840960193585
1,-36,57964.98671207281
1,-35,57965.14878935998
1,-34,57965.327142684815
1,-33,57965.52171771922
1,-32,57965.73245519363
1,-31,57965.95929091546
1,-30,57966.2021557883
1,-29,57966.46097583321
1,-28,57966.7356722111
1,-27,57967.026161246795
1,-26,57967.33235445449
1,-25,57967.654158564736
1,-24,57967.99147555294
1,-23,57968.34420266907
1,-22,57968.71223246894
1,-21,57969.095452847294
1,-20,57969.4937470713
1,-19,57969.90699381677
1,-18,57970.335067204796
1,-17,57970.77783683996
1,-16,57971.23516785041
1,-15,57971.70692092869
1,-14,57972.192952374186
1,-13,57972.69311413713
1,-12,57973.20725386329
1,-11,57973.73521494078
1,-10,57974.27683654755
1,-9,57974.83195370034
1,-8,57975.400397305144
1,-7,57975.981994208545
1,-6,57976.57656725043
1,-5,57977.183935318244
1,-4,57977.80391340156
1,-3,57978.43631264916
1,-2,57979.080940426255
1,-1,57979.73760037276
1,0,57980.406092463716
1,1,57981.08621307005
1,2,57981.77775502038
1,3,57982.480507664426
1,4,57983.19425693676
1,5,57983.91878542263
1,6,57984.65387242345
1,7,57985.39929402471
1,8,57986.15482316376
1,9,57986.92022969901
1,10,57987.69528048038
1,11,57988.47973941981
1,12,57989.2733675635
1,13,57990.07592316457
1,14,57990.88716175697
1,15,57991.70683622948
1,16,57992.534696901195
1,17,57993.37049159791
1,18,57994.21396572844
1,19,57995.06486236225
1,20,57995.92292230815
1,21,57996.7878841927
1,22,57997.659484540185
1,23,57998.537457852595
1,24,57999.4215366908
1,25,58000.31145175586
1,26,58001.20693197094
1,27,58002.107704564216
1,28,58003.01349515154
1,29,58003.92402782028
1,30,58004.83902521348
1,31,58005.75820861406
1,32,58006.68129802975
1,33,58007.6080122786
1,34,58008.53806907455
1,35,58009.471185113245
1,36,58010.40707615849
1,37,58011.34545712886
1,38,58012.28604218429
1,39,58013.22854481366
1,40,58014.17267792137
1,41,58015.11815391533
1,42,58016.06468479454
1,43,58017.011982236385
1,44,58017.959757684985
1,45,58018.90772243866
1,46,58019.85558773823
1,47,58020.803064854736
1,48,58021.74986517739
1,49,58022.69570030178
1,50,58023.64028211724
1,51,58024.58332289514
1,52,58025.52453537592
1,53,58026.46363285742
1,54,58027.40032928116
1,55,58028.334339320485
1,56,58029.265378466895
1,57,58030.19316311681
1,58,58031.11741065806
1,59,58032.03783955587
1,60,58032.95416943865
1,61,58033.86612118345
1,62,58034.773417001066
1,63,58035.675780520265
1,64,58036.57293687239
1,65,58037.4646127749
1,66,58038.350536614846
1,67,58039.230438531056
1,68,58040.10405049695
1,69,58040.97110640183
1,70,58041.8313421322
1,71,58042.684495651745
1,72,58043.53030708168
1,73,58044.36851877983
1,74,58045.1988754185
1,75,58046.02112406323
1,76,58046.83501424901
1,77,58047.64029805709
1,78,58048.43673019009
1,79,58049.22406804727
1,80,58050.00207179776
1,81,58050.77050445402
1,82,58051.529131944095
1,83,58052.27772318274
1,84,58053.01605014176
1,85,58053.74388791962
1,86,58054.46101480991
1,87,58055.167212368775
1,88,58055.862265481606
1,89,58056.54596242862
1,90,58057.2180949489
1,91,58057.87845830453
1,92,58058.52685134234
1,93,58059.16307655555
1,94,58059.78694014388
1,95,58060.398252072315
1,96,58060.996826129376
1,97,58061.582479983634
1,98,58062.15503523922
1,99,58062.71431749013
1,100,58063.26015637384
1,101,58063.792385622364
1,102,58064.31084311356
1,103,58064.815370920216
1,104,58065.30581535835
1,105,58065.782027033754
1,106,58066.24386088777
1,107,58066.69117624134
1,108,58067.123836837854
1,109,58067.54171088476
1,110,58067.94467109352
1,111,58068.33259471854
1,112,58068.70536359457
1,113,58069.06286417262
1,114,58069.40498755441
1,115,58069.73162952609
1,116,58070.04269058909
1,117,58070.33807599133
1,118,58070.61769575552
1,119,58070.881464706865
1,120,58071.12930249866
1,121,58071.361133637205
1,122,58071.57688750435
1,123,58071.776498379615
1,124,58071.95990545937
1,125,58072.1270528761
1,126,58072.2778897152
1,127,58072.412370030084
1,128,58072.530452857005
1,129,58072.632102226584
1,130,58072.717287175496
1,131,58072.78598175574
1,132,58072.83816504202
1,133,58072.87382113893
1,134,58072.892939185265
1,135,58072.89551335756
1,136,58072.88154287157
1,137,58072.85103198293
1,138,58072.80398998552
1,139,58072.74043120878
1,140,58072.660375013256
1,141,58072.563845785
1,142,58072.45087292766
1,143,58072.32149085389
1,144,58072.17573897469
1,145,58072.01366168754
1,146,58071.83530836269
1,147,58071.64073332837
1,148,58071.429995853905
1,149,58071.20316013204
1,150,58070.96029525917
1,151,58070.70147521428
1,152,58070.42677883635
1,153,58070.136289800685
1,154,58069.83009659305
1,155,58069.50829248283
1,156,58069.1709754946
1,157,58068.81824837852
1,158,58068.45021857857
1,159,58068.066998200295
1,160,58067.668703976204
1,161,58067.25545723074
1,162,58066.827383842734
1,163,58066.38461420755
1,164,58065.92728319708
1,165,58065.455530118794
1,166,58064.96949867333
1,167,58064.46933691039
1,168,58063.955197184216
1,169,58063.42723610678
1,170,58062.88561450002
1,171,58062.33049734719
1,172,58061.76205374234
1,173,58061.180456838985
1,174,58060.5858837971
1,175,58059.97851572934
1,176,58059.358537645945
1,177,58058.72613839827
1,178,58058.08151062126
1,179,58057.42485067482
1,180,58056.7563585838
2,-180,58078.32860925992
2,-179,58076.96857521854
2,-178,58075.58570196821
2,-177,58074.18041074547
2,-176,58072.7531296157
2,-175,58071.304293342444
2,-174,58069.83434325542
2,-173,58068.34372711558
2,-172,58066.83289897899
2,-171,58065.30231905857
2,-170,58063.752453583846
2,-169,58062.18377465885
2,-168,58060.59676011829
2,-167,58058.99189338233
2,-166,58057.3696633087
2,-165,58055.73056404458
2,-164,58054.0750948754
2,-163,58052.40376007313
2,-162,58050.71706874255
2,-161,58049.015534666134
2,-160,58047.29967614772
2,-159,58045.57001585434
2,-158,58043.827080657415
2,-157,58042.07140147175
2,-156,58040.30351309428
2,-155,58038.523954040946
2,-154,58036.73326638259
2,-153,58034.931995580206
2,-152,58033.120690318196
2,-151,58031.29990233767
2,-150,58029.470186268394
2,-149,58027.63209945949
2,-148,58025.78620181009
2,-147,58023.93305559842
2,-146,58022.07322531078
2,-145,58020.207277469635
2,-144,58018.33578046059
2,-143,58016.459304359814
2,-142,58014.57842076019
2,-141,58012.69370259702
2,-140,58010.805723973666
2,-139,58008.91505998679
2,-138,58007.02228655093
2,-137,58005.12798022319
2,-136,58003.23271802761
2,-135,58001.33707727948
2,-134,57999.44163540928
2,-133,57997.54696978704
2,-132,57995.6536575462
2,-131,57993.762275408015
2,-130,57991.87339950575
2,-129,57989.98760520944
2,-128,57988.105466950205
2,-127,57986.22755804555
2,-126,57984.35445052483
2,-125,57982.48671495466
2,-124,57980.624920265356
2,-123,57978.769633577846
2,-122,57976.92142003005
2,-121,57975.08084260607
2,-120,57973.24846196345
2,-119,57971.424836263046
2,-118,57969.61052099903
2,-117,57967.806068829275
2,-116,57966.012029407546
2,-115,57964.22894921551
2,-114,57962.45737139672
2,-113,57960.69783559093
2,-112,57958.9508777698
2,-111,57957.21703007355
2,-110,57955.49682064909
2,-109,57953.79077348881
2,-108,57952.099408271184
2,-107,57950.423240202486
2,-106,57948.76277985971
2,-105,57947.11853303515
2,-104,57945.49100058239
2,-103,57943.88067826357
2,-102,57942.28805659834
2,-101,57940.713620714836
2,-100,57939.15785020145
2,-99,57937.621218960936
2,-98,57936.104195065986
2,-97,57934.60724061685
2,-96,57933.13081160034
2,-95,57931.67535775107
2,-94,57930.2413224143
2,-93,57928.82914241116
2,-92,57927.439247905364
2,-91,57926.07206227211
2,-90,57924.72800196957
2,-89,57923.40747641145
2,-88,57922.110887842624
2,-87,57920.83863121651
2,-86,57919.59109407485
2,-85,57918.368656429506
2,-84,57917.17169064676
2,-83,57916.00056133418
2,-82,57914.855625228935
2,-81,57913.73723108972
2,-80,57912.64571959018
2,-79,57911.581423215335
2,-78,57910.54466616012
2,-77,57909.53576423079
2,-76,57908.555024748755
2,-75,57907.60274645656
2,-74,57906.67921942763
2,-73,57905.784724977086
2,-72,57904.91953557657
2,-71,57904.08391477129
2,-70,57903.27811709942
2,-69,57902.502388014604
2,-68,57901.756963811524
2,-67,57901.04207155365
2,-66,57900.3579290041
2,-65,57899.70474455916
2,-64,57899.08271718527
2,-63,57898.49203635806
2,-62,57897.932882004476
2,-61,57897.405424448516
2,-60,57896.90982435866
2,-59,57896.446232699665
2,-58,57896.014790685906
2,-57,57895.61562973899
2,-56,57895.24887144705
2,-55,57894.914627528255
2,-54,57894.612999796474
2,-53,57894.34408013058
2,-52,57894.10795044602
2,-51,57893.904682670145
2,-50,57893.73433872045
2,-49,57893.59697048522
2,-48,57893.49261980803
2,-47,57893.42131847539
2,-46,57893.38308820625
2,-45,57893.377940645805
2,-44,57893.40587736222
2,-43,57893.46688984569
2,-42,57893.56095951104
2,-41,57893.68805770393
2,-40,57893.848145708966
2,-39,57894.04117476168
2,-38,57894.267086063795
2,-37,57894.525810800325
2,-36,57894.817270161264
2,-35,57895.14137536534
2,-34,57895.498027686874
2,-33,57895.887118486105
2,-32,57896.3085292423
2,-31,57896.76213158964
2,-30,57897.24778735638
2,-29,57897.76534860718
2,-28,57898.31465768776
2,-27,57898.895547273256
2,-26,57899.50784041918
2,-25,57900.151350615044
2,-24,57900.82588184143
2,-23,57901.53122862955
2,-22,57902.26717612395
2,-21,57903.03350014789
2,-20,57903.82996727168
2,-19,57904.65633488369
2,-18,57905.512351264355
2,-17,57906.3977556628
2,-16,57907.312278376296
2,-15,57908.255640832285
2,-14,57909.227555673526
2,-13,57910.227726845194
2,-12,57911.2558496856
2,-11,57912.31161101857
2,-10,57913.39468924877
2,-9,57914.504754460344
2,-8,57915.64146851659
2,-7,57916.80448516329
2,-6,57917.99345013446
2,-5,57919.20800125976
2,-4,57920.44776857513
2,-3,57921.7123744355
2,-2,57923.00143362958
2,-1,57924.314553497614
2,0,57925.65133405046
2,1,57927.011368091866
2,2,57928.394241342205
2,3,57929.79953256488
2,4,57931.226813694695
2,5,57932.6756499679
2,6,57934.14560005499
2,7,57935.63621619484
2,8,57937.1470443314
2,9,57938.677624251795
2,10,57940.22748972652
2,11,57941.79616865158
2,12,57943.3831831921
2,13,57944.98804992809
2,14,57946.61028000171
2,15,57948.24937926578
2,16,57949.904848435006
2,17,57951.57618323727
2,18,57953.26287456794
2,19,57954.96440864426
2,20,57956.68026716268
2,21,57958.40992745599
2,22,57960.152862653
2,23,57961.908541838646
2,24,57963.67643021614
2,25,57965.45598926947
2,26,57967.246676927745
2,27,57969.04794773018
2,28,57970.85925299221
2,29,57972.68004097271
2,30,57974.509757042026
2,31,57976.34784385089
2,32,57978.193741500254
2,33,57980.04688771201
2,34,57981.906717999576
2,35,57983.77266584075
2,36,57985.6441628498
2,37,57987.52063895057
2,38,57989.401522550186
2,39,57991.28624071337
2,40,57993.174219336746
2,41,57995.06488332359
2,42,57996.95765675949
2,43,57998.85196308722
2,44,58000.747225282714
2,45,58002.64286603085
2,46,58004.53830790101
2,47,58006.43297352335
2,48,58008.326285764175
2,49,58010.217667902405
2,50,58012.10654380463
2,51,58013.992338100994
2,52,58015.874476360186
2,53,58017.75238526485
2,54,58019.62549278556
2,55,58021.49322835574
2,56,58023.35502304502
2,57,58025.21030973257
2,58,58027.058523280306
2,59,58028.899100704315
2,60,58030.731481346986
2,61,58032.55510704739
2,62,58034.36942231147
2,63,58036.17387448115
2,64,58037.96791390285
2,65,58039.75099409488
2,66,58041.522571913665
2,67,58043.28210771949
2,68,58045.0290655406
2,69,58046.76291323683
2,70,58048.4831226613
2,71,58050.18916982161
2,72,58051.88053503921
2,73,58053.556703107904
2,74,58055.21716345067
2,75,58056.86141027522
2,76,58058.488942727985
2,77,58060.09926504682
2,78,58061.69188671205
2,79,58063.26632259559
2,80,58064.822093108945
2,81,58066.35872434951
2,82,58067.87574824441
2,83,58069.37270269353
2,84,58070.84913171001
2,85,58072.30458555932
2,86,58073.73862089606
2,87,58075.150800899224
2,88,58076.54069540507
2,89,58077.907881038234
2,90,58079.25194134081
2,91,58080.572466898986
2,92,58081.86905546782
2,93,58083.141312093874
2,94,58084.3888492356
2,95,58085.611286880856
2,96,58086.808252663606
2,97,58087.97938197622
2,98,58089.124318081485
2,99,58090.24271222072
2,100,58091.33422372027
2,101,58092.39852009508
2,102,58093.435277150245
2,103,58094.44417907961
2,104,58095.424918561635
2,105,58096.37719685382
2,106,58097.30072388279
2,107,58098.19521833333
2,108,58099.06040773378
2,109,58099.89602853906
2,110,58100.70182621102
2,111,58101.4775552958
2,112,58102.22297949883
2,113,58102.93787175669
2,114,58103.622014306355
2,115,58104.275198751224
2,116,58104.89722612507
2,117,58105.48790695234
2,118,58106.047061305886
2,119,58106.57451886191
2,120,58107.070118951684
2,121,58107.533710610725
2,122,58107.96515262443
2,123,58108.364313571416
2,124,58108.73107186342
2,125,58109.06531578217
2,126,58109.36694351393
2,127,58109.63586317983
2,128,58109.871992864406
2,129,58110.07526064023
2,130,58110.245604589974
2,131,58110.38297282525
2,132,58110.48732350231
2,133,58110.55862483501
2,134,58110.59685510421
2,135,58110.60200266459
2,136,58110.57406594815
2,137,58110.513053464754
2,138,58110.41898379938
2,139,58110.29188560647
2,140,58110.131797601454
2,141,58109.93876854868
2,142,58109.712857246646
2,143,58109.45413251014
2,144,58109.16267314913
2,145,58108.83856794513
2,146,58108.48191562354
2,147,58108.09282482429
2,148,58107.6714140681
2,149,58107.217811720744
2,150,58106.732155954
2,151,58106.21459470326
2,152,58105.66528562262
2,153,58105.08439603712
2,154,58104.4721028912
2,155,58103.82859269535
2,156,58103.154061468995
2,157,58102.44871468085
2,158,58101.71276718647
2,159,58100.946443162524
2,160,58100.14997603871
2,161,58099.32360842667
2,162,58098.467592046036
2,163,58097.582187647626
2,164,58096.66766493408
2,165,58095.72430247808
2,166,58094.75238763694
2,167,58093.752216465284
2,168,58092.724093624805
2,169,58091.66833229191
2,170,58090.58525406159
2,171,58089.47518885003
2,172,58088.33847479384
2,173,58087.17545814711
2,174,58085.986493175966
2,175,58084.771942050706
2,176,58083.53217473532
2,177,58082.26756887496
2,178,58080.978509680775
2,179,58079.66538981276
2,180,58078.32860925992
3,-180,58088.82238598846
3,-179,58086.782852791584
3,-178,58084.709069477845
3,-177,58082.60166774171
3,-176,58080.46128951816
3,-175,58078.288586787115
3,-174,58076.08422137484
3,-173,58073.84886475242
3,-172,58071.58319783124
3,-171,58069.28791075521
